"High School, Married, $60K - $80K, Blue"
"Graduate, Single, Less than $40K, Blue"
"Graduate, Married, $80K - $120K, Blue"
"High School, Married, Less than $40K, Blue"
"Uneducated, Married, $60K - $80K, Blue"
"Graduate, Married, $40K - $60K, Blue"
"Graduate, Married, $120K +, Gold"
"High School, Married, $60K - $80K, Silver"
"Uneducated, Single, $60K - $80K, Blue"
"Graduate, Single, $80K - $120K, Blue"
"Uneducated, Married, $120K +, Blue"
"Graduate, Married, $40K - $60K, Blue"
"College, Single, $80K - $120K, Blue"
"Graduate, Married, $60K - $80K, Blue"
"Graduate, Married, Less than $40K, Blue"
"Graduate, Married, $80K - $120K, Blue"
"Post-Graduate, Single, $80K - $120K, Blue"
"Graduate, Married, $80K - $120K, Blue"
"High School, Married, $40K - $60K, Blue"
"Graduate, Married, Less than $40K, Blue"
"Doctorate, Divorced, $60K - $80K, Blue"
"Graduate, Married, Less than $40K, Blue"
"High School, Married, $40K - $60K, Blue"
"Graduate, Single, Less than $40K, Blue"
"Graduate, Married, $80K - $120K, Blue"
"Graduate, Single, Less than $40K, Blue"
"High School, Married, $40K - $60K, Blue"
"Graduate, Married, $60K - $80K, Blue"
"Uneducated, Single, Less than $40K, Blue"
"High School, Married, $40K - $60K, Blue"
"Graduate, Married, $80K - $120K, Blue"
"Uneducated, Married, $60K - $80K, Blue"
"Graduate, Married, $60K - $80K, Blue"
"College, Married, Less than $40K, Blue"
"Graduate, Married, $80K - $120K, Blue"
"College, Single, Less than $40K, Blue"
"Graduate, Married, Less than $40K, Blue"
"High School, Married, Less than $40K, Gold"
"Graduate, Married, $40K - $60K, Blue"
"Doctorate, Married, Less than $40K, Blue"
"Graduate, Single, $80K - $120K, Blue"
"Graduate, Married, $40K - $60K, Blue"
"College, Single, $40K - $60K, Silver"
"High School, Married, $60K - $80K, Blue"
"Graduate, Single, Less than $40K, Blue"
"Uneducated, Single, $80K - $120K, Blue"
"Doctorate, Married, $60K - $80K, Blue"
"Doctorate, Married, $40K - $60K, Blue"
"High School, Married, $80K - $120K, Blue"
"College, Single, $80K - $120K, Blue"
"Graduate, Married, Less than $40K, Blue"
"Graduate, Married, Less than $40K, Blue"
"High School, Married, Less than $40K, Blue"
"Graduate, Married, $120K +, Blue"
"Graduate, Married, $120K +, Blue"
"Graduate, Married, Less than $40K, Blue"
"Graduate, Single, Less than $40K, Blue"
"Uneducated, Married, $40K - $60K, Blue"
"Graduate, Married, Less than $40K, Blue"
"High School, Single, $60K - $80K, Blue"
"Graduate, Married, $80K - $120K, Blue"
"Graduate, Married, $60K - $80K, Silver"
"High School, Divorced, $60K - $80K, Blue"
"Post-Graduate, Single, $120K +, Blue"
"High School, Single, $120K +, Blue"
"Uneducated, Single, $80K - $120K, Silver"
"College, Married, $60K - $80K, Blue"
"Uneducated, Single, Less than $40K, Blue"
"Graduate, Married, $60K - $80K, Blue"
"Doctorate, Married, $80K - $120K, Blue"
"Graduate, Single, $120K +, Blue"
"Graduate, Married, Less than $40K, Blue"
"Graduate, Married, $60K - $80K, Blue"
"Uneducated, Married, $80K - $120K, Blue"
"College, Single, $60K - $80K, Blue"
"Graduate, Single, $80K - $120K, Blue"
"Graduate, Single, Less than $40K, Blue"
"Uneducated, Single, Less than $40K, Blue"
"Graduate, Divorced, $60K - $80K, Blue"
"Graduate, Married, $80K - $120K, Blue"
"Graduate, Married, $60K - $80K, Blue"
"Graduate, Married, $120K +, Blue"
"Graduate, Married, $40K - $60K, Blue"
"Graduate, Married, Less than $40K, Blue"
"Graduate, Divorced, $80K - $120K, Blue"
"Graduate, Married, $60K - $80K, Blue"
"High School, Single, $120K +, Blue"
"Uneducated, Single, Less than $40K, Blue"
"High School, Single, $60K - $80K, Blue"
"Graduate, Married, $120K +, Blue"
"High School, Single, Less than $40K, Blue"
"High School, Single, $80K - $120K, Blue"
"Graduate, Single, $40K - $60K, Blue"
"Graduate, Single, $80K - $120K, Blue"
"Graduate, Married, Less than $40K, Blue"
"Graduate, Married, Less than $40K, Blue"
"Graduate, Married, $40K - $60K, Blue"
"Doctorate, Married, $40K - $60K, Blue"
"College, Married, $120K +, Blue"
